ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,Last_Name,Order,Start,End
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Beaurepaire,472,1908,1924
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,Beaurepaire,472,1908,1924
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,Silver,Beaurepaire,472,1908,1924
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Beaurepaire,472,1908,1924
12448,Leslie Les Boardman,0,22,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,,Boardman,657,1912,1912
12448,Leslie Les Boardman,0,22,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Boardman,657,1912,1912
19659,Malcolm Eadie Champion,0,28,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,,Champion,1073,1912,1912
19659,Malcolm Eadie Champion,0,28,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",,Champion,1073,1912,1912
19659,Malcolm Eadie Champion,0,28,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Champion,1073,1912,1912
30777,Sarah Frances Fanny Durack Gately,1,22,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold,Gately,2024,1912,1912
46006,Harold Hampton Hardwick,0,23,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Hardwick,2410,1912,1912
46006,Harold Hampton Hardwick,0,23,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Hardwick,2410,1912,1912
46006,Harold Hampton Hardwick,0,23,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Hardwick,2410,1912,1912
46006,Harold Hampton Hardwick,0,23,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,,Hardwick,2410,1912,1912
46968,Cecil Patrick Healy,0,30,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,,Healy,2473,1906,1912
46968,Cecil Patrick Healy,0,30,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Healy,2473,1906,1912
46968,Cecil Patrick Healy,0,30,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,Silver,Healy,2473,1906,1912
131941,Wilhelmina Mina Wylie,1,20,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Silver,Wylie,6844,1912,1912
7809,Georgina Bardach Martin,1,28,ARG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Individual Medley,,Martin,3933,2000,2012
7809,Georgina Bardach Martin,1,24,ARG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Individual Medley,,Martin,3933,2000,2012
7809,Georgina Bardach Martin,1,24,ARG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,,Martin,3933,2000,2012
7809,Georgina Bardach Martin,1,20,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,Martin,3933,2000,2012
7809,Georgina Bardach Martin,1,20,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Individual Medley,,Martin,3933,2000,2012
7809,Georgina Bardach Martin,1,20,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,,Martin,3933,2000,2012
7809,Georgina Bardach Martin,1,17,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,,Martin,3933,2000,2012
17715,Jeannette Morven Campbell Peper,1,20,ARG,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,Silver,Peper,4817,1936,1936
135260,Victoriano Alberto Zorrilla,0,22,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Zorrilla,7052,1924,1928
135260,Victoriano Alberto Zorrilla,0,22,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Freestyle,,Zorrilla,7052,1924,1928
135260,Victoriano Alberto Zorrilla,0,22,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,"Swimming Men's 1,500 metres Freestyle",,Zorrilla,7052,1924,1928
135260,Victoriano Alberto Zorrilla,0,22,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold,Zorrilla,7052,1924,1928
135260,Victoriano Alberto Zorrilla,0,18,ARG,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 400 metres Freestyle,,Zorrilla,7052,1924,1928
135260,Victoriano Alberto Zorrilla,0,18,ARG,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Freestyle,,Zorrilla,7052,1924,1928
135260,Victoriano Alberto Zorrilla,0,18,ARG,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Zorrilla,7052,1924,1928
465,Matthew Matt Abood,0,30,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,Abood,14,2016,2016
465,Matthew Matt Abood,0,30,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Abood,14,2016,2016
4145,Janice Jan Andrew Thornett,1,16,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Thornett,6258,1960,1960
4145,Janice Jan Andrew Thornett,1,16,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Butterfly,Bronze,Thornett,6258,1960,1960
5158,Duncan John DArcy Armstrong,0,24,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Armstrong,249,1988,1992
5158,Duncan John DArcy Armstrong,0,20,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,Gold,Armstrong,249,1988,1992
5158,Duncan John DArcy Armstrong,0,20,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Armstrong,249,1988,1992
5158,Duncan John DArcy Armstrong,0,20,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,Silver,Armstrong,249,1988,1992
5577,Jessica Ashwood,1,23,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,,Ashwood,270,2012,2016
5577,Jessica Ashwood,1,23,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Ashwood,270,2012,2016
5577,Jessica Ashwood,1,23,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,,Ashwood,270,2012,2016
5577,Jessica Ashwood,1,19,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,,Ashwood,270,2012,2016
6934,Angie Lee Bainbridge,1,22,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Bainbridge,358,2008,2012
6934,Angie Lee Bainbridge,1,18,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,Bainbridge,358,2008,2012
8051,Bronte Amelia Arnold Barratt,1,27,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,,Barratt,427,2008,2016
8051,Bronte Amelia Arnold Barratt,1,27,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Barratt,427,2008,2016
8051,Bronte Amelia Arnold Barratt,1,23,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Barratt,427,2008,2016
